_id,url,nama_pengguna,title,pertanyaan,teman,total_jawaban,total_tercerdas,terima_kasih,total_tercerdas_matematika,total_tercerdas_ppkn,total_tercerdas_ips,total_tercerdas_biologi,total_tercerdas_fisika,total_tercerdas_sejarah,total_tercerdas_binggris,total_tercerdas_seni,total_tercerdas_kimia,total_tercerdas_geografi,total_tercerdas_ti,total_tercerdas_ekonomi,total_tercerdas_barab,total_tercerdas_daerah,total_tercerdas_penjaskes,total_tercerdas_sosiologi,total_tercerdas_blain,total_tercerdas_wirausaha,total_tercerdas_akuntansi,total_tercerdas_bjepang,total_tercerdas_bmandarin,total_tercerdas_bperancis,total_jawaban_matematika,total_jawaban_ppkn,total_jawaban_ips,total_jawaban_biologi,total_jawaban_fisika,total_jawaban_sejarah,total_jawaban_binggris,total_jawaban_seni,total_jawaban_kimia,total_jawaban_geografi,total_jawaban_ti,total_jawaban_ekonomi,total_jawaban_barab,total_jawaban_bdaerah,total_jawaban_penjaskes,total_jawaban_sosiologi,total_jawaban_blain,total_jawaban_wirausaha,total_jawaban_akuntansi,total_jawaban_bjepang,total_jawaban_bmandarin,total_jawaban_bperancis,total_jawaban_bindonesia,total_tercerdas_bindonesia,total_jawaban_sbmptn,total_tercerdas_sbmptn,poin,tingkat,bergabung
5f679f5d27c9b05b708abc9f,https://brainly.co.id/app/profile/4933066,Sutr1sn0,"[""Brainly Master"",""BrainlyElite"",""Jenius""]",0,47,9971,14,322,1198,0,13,9,55,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8826,0,82,128,408,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,19,0,0,83737,Sekolah Menengah Atas,22 April 2017
5f679f5d27c9b05b708abca0,https://brainly.co.id/app/profile/4891300,tiaTM,"[""Jenius""]",3,62,1516,214,18,5,0,0,4,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,5,1453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,0,42189,Sekolah Menengah Atas,14 April 2017
5f679f5d27c9b05b708abca1,https://brainly.co.id/app/profile/3716768,MRWAR,"[""Brainly Bachelor"",""Teaching Assistant"",""Jenius""]",0,54,4445,371,1971,0,23,7,0,0,29,282,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,438,262,0,0,534,2179,0,0,70,0,0,0,0,699,0,0,0,0,0,0,0,89,2,0,0,183254,Sekolah Menengah Atas,20 September 2016
5f679f5d27c9b05b708abca2,https://brainly.co.id/app/profile/4868126,Cadilac,"[""Si Hebat""]",26,15,887,107,53,92,0,1,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,0,12,0,60,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,13076,Sekolah Menengah Atas,10 April 2017
5f679f5d27c9b05b708abca3,https://brainly.co.id/app/profile/5829804,Arkan5283,"[""Jenius""]",4,18,3925,705,337,682,0,2,2,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3794,0,18,13,23,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,28152,Sekolah Menengah Atas,2 Oktober 2017
5f679f5d27c9b05b708abca4,https://brainly.co.id/app/profile/4589026,Bobb123,"[""Pakar""]",0,5,328,33,14,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3124,Sekolah Menengah Atas,20 Februari 2017
5f679f5d27c9b05b708abca5,https://brainly.co.id/app/profile/1172847,fajarperdana,"[""Jenius""]",4,69,1779,214,183,93,7,13,9,45,4,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,716,67,137,83,396,46,0,0,124,56,0,0,0,0,0,0,0,0,0,0,0,0,38,2,0,0,69492,Sekolah Menengah Atas,11 Februari 2015
5f679f5d27c9b05b708abca6,https://brainly.co.id/app/profile/3610361,Zerif,"[""Ambisius""]",9,2,70,6,497,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,5,6,4,0,5,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,,,,2108,Sekolah Menengah Atas,5 September 2016
5f679f5d27c9b05b708abca7,https://brainly.co.id/app/profile/10975672,Hikmah192023,"[""Apprentice Moderator"",""Best Team"",""Si Hebat""]",88,70,602,91,23,34,3,4,2,2,0,0,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,229,23,15,15,12,0,0,11,0,0,0,0,217,0,4,0,0,0,5,0,0,0,48,5,,,69175,Sekolah Menengah Atas,26 Maret 2019
5f679f5d27c9b05b708abca8,https://brainly.co.id/app/profile/1197991,MPangkey,"[""Ambisius""]",23,5,13,2,540,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,,,503,Sekolah Menengah Atas,18 Februari 2015
